,WFBN_INFO_1_matrix_1,WFBN_INFO_1_matrix_2,WFBN_tal_2_matrix_1,WFBN_tal_2_matrix_2,WFBN_tal_2_matrix_3,WFBN_advnet_5_matrix_1,WFBN_advnet_5_matrix_2,WFBN_advnet_5_matrix_3,Bhea_Orgres_1_matrix_1,Bhea_Orgres_1_matrix_2,Bhea_Orgres_1_matrix_3,Bhea_Orgres_1_matrix_4,Bhea_Orgres_1_matrix_5,Bhea_Opres_2_matrix_1,Bhea_Opres_2_matrix_2,Bhea_Opres_2_matrix_3,Bhea_Opres_5_matrix_1,Bhea_Opres_5_matrix_2,Bhea_Opres_5_matrix_3,Tech_rc_1_matrix_1,Tech_rc_1_matrix_2,Tech_rc_1_matrix_3,Tech_rc_2_matrix_1,Tech_rc_2_matrix_2,Adapt_main_1_matrix_1,Adapt_main_1_matrix_2,Adapt_main_1_matrix_3,Adapt_main_1_matrix_4,Mind_Creat_1_matrix_1,Mind_Creat_1_matrix_2,Mind_Creat_1_matrix_3,Mind_Trust_2_matrix_1,Mind_Trust_2_matrix_2,Mind_Trust_2_matrix_3,Mind_Hope_3_matrix_1,Mind_Hope_3_matrix_2,Mind_Hope_3_matrix_3,Mind_belon_4_matrix_1,Mind_belon_4_matrix_2,Mind_belon_4_matrix_3,Mind_belon_4_matrix_4,Mind_FO_5_matrix_1,Mind_FO_5_matrix_2,V2_Econ_Condition,Recoded_Sales
16,4.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,-1.0,0.0
18,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,-1.0,-1.0
19,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,1.0,3.0
20,4.0,3.0,4.0,4.0,1.0,5.0,4.0,5.0,4.0,1.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,-2.0,0.0
21,4.0,4.0,4.0,5.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,1.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,1.0,5.0,5.0,4.0,1.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,2.0,5.0,4.0,-2.0,0.0
22,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,-1.0,2.0
23,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,2.0,5.0,4.0,3.0,5.0,5.0,2.0,1.0,1.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,-2.0,2.0
24,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,5.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,-2.0,-2.0
25,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,-1.0,-2.0
26,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,-2.0,4.0
27,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,3.0,1.0,1.0,4.0,4.0,1.0,4.0,2.0,4.0,4.0,4.0,5.0,2.0,4.0,1.0,2.0,4.0,2.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,-1.0,-4.0
29,3.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,2.0,2.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,-1.0,3.0
30,3.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,5.0,5.0,4.0,2.0,2.0,2.0,1.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,-1.0,0.0
31,4.0,3.0,4.0,3.0,1.0,2.0,2.0,4.0,5.0,1.0,1.0,1.0,5.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,1.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,-2.0,-2.0
32,3.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,1.0,3.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,5.0,5.0,3.0,4.0,4.0,2.0,4.0,1.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,1.0,2.0
35,5.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,-1.0,-1.0
37,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,1.0,4.0,5.0,5.0,4.0,3.0,2.0,2.0,5.0,4.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,2.0,3.0,5.0,4.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,-1.0,2.0
38,3.0,4.0,3.0,2.0,1.0,2.0,4.0,3.0,1.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,2.0,5.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,-2.0,-2.0
39,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,5.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,1.0,4.0,2.0,4.0,4.0,1.0,1.0,-1.0,-4.0
40,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,0.0,-2.0
41,3.0,3.0,2.0,3.0,2.0,2.0,5.0,5.0,5.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,-2.0,4.0
42,4.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,1.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,0.0,4.0
44,3.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,1.0,1.0,4.0,5.0,5.0,4.0,4.0,1.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,2.0,4.0,2.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,-1.0,2.0
45,3.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,-1.0,-4.0
46,2.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,2.0,5.0,1.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,-2.0,-4.0
47,4.0,4.0,4.0,5.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,2.0,4.0,5.0,3.0,3.0,2.0,4.0,3.0,4.0,5.0,1.0,3.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,-1.0,-3.0
48,1.0,2.0,3.0,1.0,1.0,5.0,4.0,4.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,4.0,1.0,5.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,-1.0,-3.0
49,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,5.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,-1.0,2.0
50,4.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,1.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,-1.0,-3.0
51,3.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,-1.0,-4.0
53,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,5.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,4.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,-2.0,1.0
54,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,1.0,5.0,1.0,4.0,3.0,1.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,-1.0,-4.0
55,4.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,2.0,5.0,2.0,4.0,2.0,1.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,-1.0,-4.0
56,3.0,3.0,4.0,5.0,1.0,4.0,4.0,4.0,5.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,3.0,4.0,3.0,1.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,2.0,1.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,-1.0,-4.0
57,3.0,2.0,3.0,5.0,3.0,4.0,4.0,3.0,2.0,4.0,1.0,3.0,2.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,-2.0,-4.0
58,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,4.0,1.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,-1.0,-1.0
59,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,-1.0,1.0
60,4.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,-2.0,0.0
61,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,5.0,4.0,3.0,4.0,4.0,2.0,4.0,5.0,5.0,1.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,-1.0,4.0
62,2.0,4.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,-1.0,-4.0
63,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,-2.0,0.0
65,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,5.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,2.0,4.0,5.0,5.0,1.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,1.0,-4.0
66,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,5.0,5.0,4.0,4.0,2.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-1.0,0.0
67,3.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,1.0,4.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,-1.0,0.0
69,3.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0
70,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,-1.0,0.0
72,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,5.0,2.0,3.0,1.0,3.0,2.0,2.0,5.0,5.0,2.0,1.0,1.0,3.0,2.0,4.0,3.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0
73,5.0,3.0,4.0,4.0,3.0,5.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,1.0,4.0
74,2.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,1.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,4.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,-1.0,-4.0
75,2.0,2.0,4.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,3.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,-2.0,-4.0
76,2.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,4.0,2.0,3.0,4.0,3.0,1.0,4.0,3.0,4.0,5.0,3.0,1.0,4.0,1.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,-2.0,4.0
77,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,0.0,1.0
78,4.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,5.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,4.0,3.0,5.0,4.0,4.0,1.0,4.0,5.0,1.0,5.0,4.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,-2.0,-3.0
79,3.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0,1.0,1.0,4.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,-2.0,3.0
80,5.0,4.0,5.0,5.0,5.0,3.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,1.0,4.0
